DATE,Total Industrial Grey WF
8/8/2015,822.7243
8/9/2015,732.9851
8/10/2015,782.6965
8/11/2015,457.9700
8/12/2015,503.6340
8/13/2015,545.1396
8/14/2015,573.9800
8/15/2015,841.0189
8/16/2015,492.3594
8/17/2015,563.2528
8/18/2015,744.2646
8/19/2015,543.7296
8/20/2015,784.9906
8/21/2015,451.1081
8/22/2015,470.5256
8/23/2015,534.0784
8/24/2015,740.9906
8/25/2015,457.0530
8/26/2015,529.8348
8/27/2015,781.7786
8/28/2015,514.0468
8/29/2015,740.9906
8/30/2015,472.8455
8/31/2015,464.3277
9/1/2015,1758.8788
9/2/2015,3066.3474
9/3/2015,3031.4489
9/4/2015,3236.8346
9/5/2015,2185.6827
9/6/2015,2023.8990
9/7/2015,1755.4988
9/8/2015,2959.4436
9/9/2015,1998.1659
9/10/2015,2029.6619
9/11/2015,2033.0419
9/12/2015,1971.9709
9/13/2015,3031.4489
9/14/2015,1922.6060
9/15/2015,3187.1824
9/16/2015,1758.8788
9/17/2015,1755.4988
9/18/2015,1983.6985
9/19/2015,3178.4789
9/20/2015,2182.3027
9/21/2015,1943.7254
9/22/2015,3045.9153
9/23/2015,3251.3010
9/24/2015,2936.6286
9/25/2015,2003.4669
9/26/2015,2182.3027
9/27/2015,1758.8788
9/28/2015,1906.4440
9/29/2015,1868.1655
9/30/2015,2272.1544
10/1/2015,5518.4556
10/2/2015,5882.0882
10/3/2015,5828.4375
10/4/2015,3783.0467
10/5/2015,3791.3265
10/6/2015,3686.6806
10/7/2015,3710.2768
10/8/2015,3371.3654
10/9/2015,5643.7959
10/10/2015,3889.0841
10/11/2015,4119.4643
10/12/2015,3399.9944
10/13/2015,3663.6421
10/14/2015,5703.2111
10/15/2015,4346.2216
10/16/2015,3561.4309
10/17/2015,4893.0599
10/18/2015,4069.8885
10/19/2015,3714.0980
10/20/2015,5435.9049
10/21/2015,3343.8654
10/22/2015,3771.0960
10/23/2015,3685.7051
10/24/2015,4175.1968
10/25/2015,6028.9328
10/26/2015,3638.2799
10/27/2015,5588.1868
10/28/2015,3370.7654
10/29/2015,3791.0940
10/30/2015,6001.6054
10/31/2015,3424.4161
11/1/2015,3661.6173
11/2/2015,4064.8068
11/3/2015,7058.0589
11/4/2015,3796.0961
11/5/2015,6167.8336
11/6/2015,6087.9923
11/7/2015,4824.0686
11/8/2015,4010.1693
11/9/2015,6509.3356
11/10/2015,4010.1693
11/11/2015,3969.4086
11/12/2015,4383.6581
11/13/2015,3926.7913
11/14/2015,6960.8061
11/15/2015,3753.4788
11/16/2015,4313.3079
11/17/2015,4589.0686
11/18/2015,3896.6173
11/19/2015,6322.9923
11/20/2015,3951.2548
11/21/2015,4148.6551
11/22/2015,3734.4086
11/23/2015,4010.1693
11/24/2015,3723.3048
11/25/2015,6685.0454
11/26/2015,3926.7913
11/27/2015,4040.3433
11/28/2015,6647.8214
11/29/2015,6377.6298
11/30/2015,6912.9954
12/1/2015,5084.0396
12/2/2015,5084.0396
12/3/2015,8242.8471
12/4/2015,8777.5441
12/5/2015,5723.9408
12/6/2015,6321.4622
12/7/2015,5094.4816
12/8/2015,5241.8504
12/9/2015,8767.9136
12/10/2015,8560.3080
12/11/2015,5129.3342
12/12/2015,5763.4897
12/13/2015,5614.5779
12/14/2015,8741.2580
12/15/2015,5476.1016
12/16/2015,5519.3359
12/17/2015,5923.1890
12/18/2015,5641.9334
12/19/2015,7069.8746
12/20/2015,5717.7951
12/21/2015,5812.8593
12/22/2015,5890.7147
12/23/2015,9049.4922
12/24/2015,8977.1668
12/25/2015,5158.6703
12/26/2015,5487.2391
12/27/2015,8791.3776
12/28/2015,6182.2834
12/29/2015,8590.2159
12/30/2015,6117.3281
12/31/2015,5807.9593
1/1/2016,601.6456
1/2/2016,613.4781
1/3/2016,670.1875
1/4/2016,625.9070
1/5/2016,681.7024
1/6/2016,1062.0650
1/7/2016,1006.0414
1/8/2016,701.7605
1/9/2016,716.8020
1/10/2016,1004.8651
1/11/2016,639.3773
