DATE,Industrial Grey WF_Semambu Area
8/9/2015,683.9726
8/10/2015,740.9779
8/11/2015,416.2533
8/12/2015,424.2714
8/13/2015,473.247
8/14/2015,491.035
8/15/2015,765.7027
8/16/2015,416.2533
8/17/2015,522.4531
8/18/2015,700.1909
8/19/2015,473.641
8/20/2015,740.9819
8/21/2015,421.3714
8/22/2015,424.7714
8/23/2015,457.0353
8/24/2015,700.1909
8/25/2015,416.2533
8/26/2015,481.7651
8/27/2015,740.9789
8/28/2015,473.247
8/29/2015,700.1909
8/30/2015,424.7714
8/31/2015,416.2533
9/1/2015,1598.7907
9/2/2015,2796.9726
9/3/2015,2762.0741
9/4/2015,2964.0798
9/5/2015,1999.3996
9/6/2015,1867.1909
9/7/2015,1598.7907
9/8/2015,2762.0741
9/9/2015,1800.7964
9/10/2015,1832.2924
9/11/2015,1832.2924
9/12/2015,1800.7964
9/13/2015,2762.0741
9/14/2015,1765.8979
9/15/2015,3030.4743
9/16/2015,1598.7907
9/17/2015,1598.7907
9/18/2015,1800.7954
9/19/2015,2995.5758
9/20/2015,1999.3996
9/21/2015,1633.6892
9/22/2015,2762.0741
9/23/2015,2964.0798
9/24/2015,2762.0741
9/25/2015,1832.2924
9/26/2015,1999.3996
9/27/2015,1598.7907
9/28/2015,1633.6892
9/29/2015,1598.7907
9/30/2015,1999.3996
10/1/2015,5163.9069
10/2/2015,5527.5395
10/3/2015,5527.5395
10/4/2015,3433.5
10/5/2015,3490.216
10/6/2015,3069.8374
10/7/2015,3408.6788
10/8/2015,3070.2674
10/9/2015,5343.8979
10/10/2015,3553.0172
10/11/2015,3790.9074
10/12/2015,3069.8674
10/13/2015,3132.6886
10/14/2015,5163.9069
10/15/2015,3791.0074
10/16/2015,3069.8674
10/17/2015,4325.8674
10/18/2015,3490.696
10/19/2015,3433.2
10/20/2015,5163.9069
10/21/2015,3069.8674
10/22/2015,3490.196
10/23/2015,3385.0072
10/24/2015,3791.0074
10/25/2015,5464.7183
10/26/2015,3069.8674
10/27/2015,5226.7281
10/28/2015,3069.8674
10/29/2015,3490.196
10/30/2015,5647.0567
10/31/2015,3069.8674
11/1/2015,3334.7558
11/2/2015,3683.3078
11/3/2015,6669.5099
11/4/2015,3407.5471
11/5/2015,5833.9221
11/6/2015,5761.1308
11/7/2015,4170.3456
11/8/2015,3683.3078
11/9/2015,6182.4741
11/10/2015,3683.3078
11/11/2015,3407.5471
11/12/2015,3821.7966
11/13/2015,3334.7558
11/14/2015,6596.7206
11/15/2015,3334.7558
11/16/2015,3894.5849
11/17/2015,4170.3456
11/18/2015,3334.7558
11/19/2015,5761.1308
11/20/2015,3334.7558
11/21/2015,3821.7936
11/22/2015,3407.5471
11/23/2015,3683.3078
11/24/2015,3334.7558
11/25/2015,6320.9599
11/26/2015,3334.7558
11/27/2015,3683.3078
11/28/2015,6320.9599
11/29/2015,5761.1308
11/30/2015,6320.9599
12/1/2015,4630.8176
12/2/2015,4630.8176
12/3/2015,7789.6251
12/4/2015,8243.3914
12/5/2015,5179.3461
12/6/2015,5813.4036
12/7/2015,4630.8176
12/8/2015,4630.8176
12/9/2015,7884.3893
12/10/2015,8061.3914
12/11/2015,4630.8176
12/12/2015,5264.5731
12/13/2015,5106.6313
12/14/2015,8243.3914
12/15/2015,4630.8176
12/16/2015,4630.8176
12/17/2015,5360.0373
12/18/2015,5084.5839
12/19/2015,6525.7251
12/20/2015,5264.5731
12/21/2015,5359.6373
12/22/2015,5084.5839
12/23/2015,8243.3914
12/24/2015,8518.4348
12/25/2015,4630.5176
12/26/2015,4630.7176
12/27/2015,8338.1556
12/28/2015,5718.6194
12/29/2015,7789.6251
12/30/2015,5321.6373
12/31/2015,5359.6373
1/1/2016,574.703
1/2/2016,586.5355
1/3/2016,643.2449
1/4/2016,574.703
1/5/2016,653.7655
1/6/2016,1034.1247
1/7/2016,965.8828
1/8/2016,653.7855
1/9/2016,665.598
1/10/2016,965.8828
1/11/2016,608.2084
1/12/2016,574.603
1/13/2016,977.7153
1/14/2016,710.4749
1/15/2016,574.7027
1/16/2016,634.9355
1/17/2016,631.4124
1/18/2016,895.7778
1/19/2016,653.7655
1/20/2016,1022.5122
1/21/2016,574.703
1/22/2016,722.2474
1/23/2016,574.703
1/24/2016,965.8828
1/25/2016,574.703
1/26/2016,1101.5547
1/27/2016,665.561
1/28/2016,643.2449
1/29/2016,965.8818
1/30/2016,574.703
1/31/2016,1022.5912
2/1/2016,3728.0738
2/2/2016,3728.0738
2/3/2016,7302.0147
2/4/2016,7136.2955
2/5/2016,7722.4387
2/6/2016,4148.4978
2/7/2016,6628.1469
2/8/2016,3728.0738
2/9/2016,4513.9366
2/10/2016,6628.1499
2/11/2016,4757.641
2/12/2016,4501.0738
2/13/2016,3728.3738
2/14/2016,4822.3626
2/15/2016,6628.1499
2/16/2016,7214.2931
2/17/2016,3815.8954
2/18/2016,3728.0738
2/19/2016,4734.641
2/20/2016,7302.4147
2/21/2016,3728.0738
2/22/2016,4304.4978
2/23/2016,6628.1499
2/24/2016,4402.3586
2/25/2016,4148.4948
2/26/2016,7214.2931
2/27/2016,4236.2194
2/28/2016,4236.2194
2/29/2016,3728.0738
3/1/2016,589.6952
3/2/2016,729.009
3/3/2016,1003.2205
3/4/2016,601.8363
3/5/2016,670.8202
3/6/2016,1049.2682
3/7/2016,589.6952
3/8/2016,670.8002
3/9/2016,1061.4093
3/10/2016,991.0724
3/11/2016,670.7702
3/12/2016,636.8353
3/13/2016,1003.2205
3/14/2016,729.009
3/15/2016,589.6952
3/16/2016,842.2195
3/17/2016,729.409
3/18/2016,589.6952
3/19/2016,589.6942
3/20/2016,1052.3445
3/21/2016,728.2085
3/22/2016,647.884
3/23/2016,991.0794
3/24/2016,682.9803
3/25/2016,597.8353
3/26/2016,589.2652
3/27/2016,647.884
3/28/2016,1072.2044
3/29/2016,1003.1695
3/30/2016,647.884
3/31/2016,589.6952
4/1/2016,1289.3335
4/2/2016,1289.3335
4/3/2016,2389.467
4/4/2016,2442.959
4/5/2016,1478.5335
4/6/2016,1425.0415
4/7/2016,1453.357
4/8/2016,2414.6435
4/9/2016,2225.4435
4/10/2016,1289.3335
4/11/2016,1614.2415
4/12/2016,2253.759
4/13/2016,1425.0415
4/14/2016,1289.3335
4/15/2016,1506.849
4/16/2016,1289.3335
4/17/2016,2225.4435
4/18/2016,1425.0415
4/19/2016,1506.849
4/20/2016,1289.3335
4/21/2016,2550.3515
4/22/2016,1317.649
4/23/2016,1289.3335
4/24/2016,2442.959
4/25/2016,1614.2415
4/26/2016,1289.3335
4/27/2016,2225.4435
4/28/2016,2578.667
4/29/2016,1425.0415
4/30/2016,1317.649
5/1/2016,2284.0656
5/2/2016,3699.1157
5/3/2016,3741.9182
5/4/2016,2364.9257
5/5/2016,2364.9257
5/6/2016,2121.7281
5/7/2016,3051.1157
5/8/2016,2364.9257
5/9/2016,2121.7281
5/10/2016,2284.0656
5/11/2016,3493.9757
5/12/2016,2365.5257
5/13/2016,2078.9256
5/14/2016,3741.8482
5/15/2016,2078.9256
5/16/2016,2078.9256
5/17/2016,2455.0657
5/18/2016,2326.8621
5/19/2016,2407.7282
5/20/2016,3536.7582
5/21/2016,3493.9757
5/22/2016,2284.0656
5/23/2016,2078.8246
5/24/2016,2364.9257
5/25/2016,2390.7282
5/26/2016,3493.9757
5/27/2016,2284.0656
5/28/2016,3822.7783
5/29/2016,3779.9758
5/30/2016,2121.7281
5/31/2016,2078.9256
6/1/2016,922.9553
6/2/2016,922.9533
6/3/2016,990.9806
6/4/2016,681.2158
6/5/2016,591.0058
6/6/2016,546.4671
6/7/2016,613.1905
6/8/2016,613.1905
6/9/2016,990.9806
6/10/2016,534.7238
6/11/2016,1001.422
6/12/2016,591.0058
6/13/2016,613.1905
6/14/2016,546.4671
6/15/2016,534.7238
6/16/2016,591.0038
6/17/2016,624.9338
6/18/2016,1001.422
6/19/2016,534.7238
6/20/2016,934.6986
6/21/2016,591.0058
6/22/2016,1001.422
6/23/2016,534.7238
6/24/2016,602.7491
6/25/2016,922.9553
6/26/2016,546.4671
