Date,Industrial Blue WF_Panching Area
8/18/2015,703.7731
8/19/2015,691.5225
8/20/2015,555.4424
8/21/2015,168.9785
8/22/2015,102.1852
8/23/2015,460.7011
8/24/2015,369.8766
8/25/2015,217.9796
8/26/2015,492.1913
8/27/2015,484.9859
8/28/2015,393.5435
8/29/2015,433.0556
8/30/2015,685.0555
8/31/2015,413.9735
9/1/2015,372.0982
9/2/2015,385.6776
9/3/2015,252.4186
9/4/2015,524.1422
9/5/2015,97.5565
9/6/2015,581.4871
9/7/2015,218.2650
9/8/2015,343.9627
9/9/2015,405.4464
9/10/2015,89.5160
9/11/2015,548.6037
9/12/2015,514.8438
9/13/2015,427.4240
9/14/2015,520.8866
9/15/2015,229.9757
9/16/2015,307.7995
9/17/2015,178.4979
9/18/2015,440.5236
9/19/2015,542.0279
9/20/2015,478.5668
9/21/2015,168.8054
9/22/2015,303.0281
9/23/2015,281.7590
9/24/2015,412.6564
9/25/2015,115.5874
9/26/2015,263.9280
9/27/2015,370.2746
9/28/2015,189.5081
9/29/2015,447.4050
9/30/2015,287.3280
10/1/2015,67.0038
10/2/2015,919.6719
10/3/2015,306.0466
10/4/2015,66.1451
10/5/2015,1029.7543
10/6/2015,515.7865
10/7/2015,681.0499
10/8/2015,431.2396
10/9/2015,403.4474
10/10/2015,1088.8527
10/11/2015,161.6151
10/12/2015,566.4588
10/13/2015,1118.8118
10/14/2015,1041.1082
10/15/2015,664.4021
10/16/2015,575.1995
10/17/2015,318.5762
10/18/2015,1044.4913
10/19/2015,184.4616
10/20/2015,1042.6640
10/21/2015,450.1095
10/22/2015,905.0075
10/23/2015,358.4884
10/24/2015,923.7378
10/25/2015,469.0838
10/26/2015,183.6787
10/27/2015,151.0158
10/28/2015,879.7126
10/29/2015,1139.8043
10/30/2015,878.6589
10/31/2015,558.9165
11/1/2015,46.1761
11/2/2015,472.1248
11/3/2015,528.3176
11/4/2015,454.9816
11/5/2015,210.2518
11/6/2015,56.3161
11/7/2015,251.1013
11/8/2015,771.5949
11/9/2015,92.5206
11/10/2015,551.8724
11/11/2015,579.7693
11/12/2015,300.8745
11/13/2015,784.0614
11/14/2015,302.8357
11/15/2015,332.0502
11/16/2015,565.7527
11/17/2015,525.7821
11/18/2015,664.4729
11/19/2015,731.4831
11/20/2015,159.9540
11/21/2015,692.8060
11/22/2015,946.7768
11/23/2015,770.8076
11/24/2015,777.0409
11/25/2015,635.2151
11/26/2015,123.1187
11/27/2015,506.6993
11/28/2015,377.4330
11/29/2015,59.0915
11/30/2015,74.7181
12/1/2015,717.6962
12/2/2015,671.7604
12/3/2015,212.9532
12/4/2015,528.2939
12/5/2015,453.0078
12/6/2015,117.2376
12/7/2015,137.0174
12/8/2015,737.5554
12/9/2015,559.0069
12/10/2015,397.5511
12/11/2015,314.8687
12/12/2015,374.8669
12/13/2015,304.6390
12/14/2015,417.2678
12/15/2015,169.7375
12/16/2015,278.5491
12/17/2015,321.3168
12/18/2015,536.2105
12/19/2015,750.3998
12/20/2015,120.3286
12/21/2015,509.8855
12/22/2015,311.7675
12/23/2015,505.0507
12/24/2015,321.2219
12/25/2015,714.1046
12/26/2015,322.6154
12/27/2015,687.7318
12/28/2015,486.5017
12/29/2015,115.2344
12/30/2015,271.3947
12/31/2015,742.2274
1/1/2016,1528.2087
1/2/2016,3038.0428
1/3/2016,4078.3036
1/4/2016,4173.5367
1/5/2016,1245.0708
1/6/2016,3126.0156
1/7/2016,2661.6101
1/8/2016,365.4748
1/9/2016,3180.5352
1/10/2016,1989.1700
1/11/2016,2905.6584
1/12/2016,3418.1712
1/13/2016,579.6869
1/14/2016,971.3956
1/15/2016,1792.1019
1/16/2016,3792.4271
1/17/2016,3790.3565
1/18/2016,1010.2760
1/19/2016,1377.7358
1/20/2016,175.0635
1/21/2016,1969.9303
1/22/2016,2285.6244
1/23/2016,250.9202
1/24/2016,2507.3934
1/25/2016,3892.6151
1/26/2016,2487.0192
1/27/2016,1930.6517
1/28/2016,389.2435
1/29/2016,613.8769
1/30/2016,4143.0507
1/31/2016,3266.8333
2/1/2016,223.7697
2/2/2016,1669.2657
2/3/2016,1968.9809
2/4/2016,595.2903
2/5/2016,1242.5119
2/6/2016,2144.1837
2/7/2016,2257.9456
2/8/2016,215.5809
2/9/2016,427.0413
2/10/2016,737.0586
2/11/2016,973.3478
2/12/2016,1061.7570
2/13/2016,2018.8454
2/14/2016,630.2336
2/15/2016,2173.8803
2/16/2016,123.9219
2/17/2016,298.3536
2/18/2016,2196.8465
2/19/2016,1463.1980
2/20/2016,841.1956
2/21/2016,1838.5849
2/22/2016,1546.1532
2/23/2016,887.0407
2/24/2016,1029.3881
2/25/2016,595.0859
2/26/2016,1491.1831
2/27/2016,2086.6023
2/28/2016,1931.2021
2/29/2016,2395.5514
3/1/2016,700.4209
3/2/2016,3124.4100
3/3/2016,2518.9393
3/4/2016,531.6207
3/5/2016,2493.2986
3/6/2016,1325.5138
3/7/2016,2568.2938
3/8/2016,1943.3550
3/9/2016,3216.4152
3/10/2016,2912.0485
3/11/2016,856.5397
3/12/2016,673.6571
3/13/2016,1878.5346
3/14/2016,2085.4710
3/15/2016,864.0781
3/16/2016,3008.4954
3/17/2016,934.9864
3/18/2016,340.6068
3/19/2016,1219.3329
3/20/2016,2134.3483
3/21/2016,842.4079
3/22/2016,1126.9239
3/23/2016,770.0822
3/24/2016,1183.6430
3/25/2016,3154.2452
3/26/2016,1286.3050
3/27/2016,295.2099
3/28/2016,1407.3025
3/29/2016,916.4547
3/30/2016,1146.1330
3/31/2016,1205.9268
4/1/2016,232.3494
4/2/2016,253.1302
4/3/2016,424.3273
4/4/2016,1132.2430
4/5/2016,885.2802
4/6/2016,255.4156
4/7/2016,414.8604
4/8/2016,423.2876
4/9/2016,533.0013
4/10/2016,1034.5689
4/11/2016,1027.4799
4/12/2016,197.8934
4/13/2016,948.6360
4/14/2016,677.2738
4/15/2016,175.7727
4/16/2016,233.2122
4/17/2016,86.2030
4/18/2016,706.9044
4/19/2016,208.2865
4/20/2016,995.4767
4/21/2016,502.3724
4/22/2016,107.3280
4/23/2016,248.1867
4/24/2016,950.9980
4/25/2016,638.9541
4/26/2016,507.9597
4/27/2016,205.1227
4/28/2016,339.2293
4/29/2016,384.7604
4/30/2016,361.4861
5/1/2016,2112.2152
5/2/2016,2704.0261
5/3/2016,1254.2397
5/4/2016,1446.7974
5/5/2016,106.3155
5/6/2016,1376.6673
5/7/2016,1140.6172
5/8/2016,2590.5931
5/9/2016,197.4934
5/10/2016,2847.4720
5/11/2016,253.6162
5/12/2016,1121.8107
5/13/2016,158.8645
5/14/2016,142.0087
5/15/2016,1616.5687
5/16/2016,1148.8135
5/17/2016,703.1250
5/18/2016,2630.8618
5/19/2016,480.8149
5/20/2016,1521.6976
5/21/2016,1362.8570
5/22/2016,496.2818
5/23/2016,1054.5578
5/24/2016,141.6109
5/25/2016,1774.2638
5/26/2016,1724.8936
5/27/2016,1362.1598
5/28/2016,2017.4263
5/29/2016,2561.5076
5/30/2016,1119.2207
5/31/2016,865.6020
6/1/2016,563.7113
6/2/2016,507.2097
6/3/2016,586.6604
6/4/2016,182.7224
6/5/2016,203.0995
6/6/2016,544.3338
6/7/2016,555.2769
6/8/2016,454.9413
6/9/2016,502.0519
6/10/2016,677.5408
6/11/2016,676.7141
6/12/2016,513.9960
6/13/2016,783.0233
6/14/2016,422.9841
6/15/2016,738.2764
6/16/2016,112.1549
6/17/2016,36.7091
6/18/2016,283.3421
6/19/2016,380.8394
6/20/2016,630.5089
6/21/2016,96.4460
6/22/2016,419.8302
6/23/2016,445.4947
6/24/2016,374.3865
6/25/2016,399.7875
6/26/2016,179.1371
6/27/2016,487.0884
6/28/2016,311.4562
6/29/2016,325.1727
6/30/2016,719.1046
7/1/2016,766.1436
7/2/2016,199.1251
7/3/2016,267.0149
7/4/2016,65.5735
7/5/2016,243.3374
7/6/2016,749.9861
7/7/2016,779.8762
7/8/2016,400.0345
7/9/2016,246.9721
7/10/2016,28.4372
7/11/2016,240.5923
7/12/2016,796.1651
7/13/2016,213.3982
7/14/2016,317.5210
7/15/2016,159.8252
7/16/2016,761.4142
7/17/2016,48.5392
7/18/2016,664.6223
7/19/2016,313.9786
7/20/2016,56.2052
7/21/2016,170.6912
7/22/2016,366.4092
7/23/2016,404.3946
7/24/2016,430.3698
7/25/2016,737.4508
7/26/2016,766.6617
7/27/2016,783.9293
7/28/2016,40.1029
7/29/2016,153.5067
7/30/2016,573.6767
7/31/2016,546.0455
8/1/2016,361.9220
8/2/2016,282.7801
8/3/2016,579.0229
8/4/2016,314.7608
8/5/2016,397.7499
8/6/2016,142.3797
8/7/2016,740.3581
8/8/2016,518.6537
8/9/2016,468.7667
8/10/2016,421.3195
8/11/2016,90.1276
8/12/2016,476.2527
8/13/2016,353.7719
8/14/2016,232.7865
8/15/2016,652.5607
